candidate_id,title,source_pdf,relevant,reason
pending-ref-045,A behavioral investigation of dimensionality reduction,papers/raw/pending-references/pending-ref-045-2012-a-behavioral-investigation-of-dimensionality-reduction.pdf,true,body_core_terms
pending-ref-046,Neighborhood preserving embedding,papers/raw/pending-references/pending-ref-046-2005-neighborhood-preserving-embedding.pdf,true,body_core_terms
pending-ref-047,Visualizing dimensionality reduction artifacts: An evaluation,papers/raw/pending-references/pending-ref-047-2017-visualizing-dimensionality-reduction-artifacts-an-evaluation.pdf,true,body_core_terms
pending-ref-048,"Linear dimensionality reduction: Survey, insights, and generalizations",papers/raw/pending-references/pending-ref-048-2015-linear-dimensionality-reduction-survey-insights-and-generalizations.pdf,true,body_core_terms
pending-ref-049,DimReader: Axis lines that explain non-linear projections,papers/raw/pending-references/pending-ref-049-2019-dimreader-axis-lines-that-explain-non-linear-projections.pdf,true,body_core_terms
pending-ref-051,Explaining Neighborhood Preservation for Multidimensional Projections,papers/raw/pending-references/pending-ref-051-2015-explaining-neighborhood-preservation-for-multidimensional-projections.pdf,true,body_core_terms
pending-ref-052,Distortion-Aware Brushing for Interactive Cluster Analysis in Multidimensional Projections,papers/raw/pending-references/pending-ref-052-2022-distortion-aware-brushing-for-interactive-cluster-analysis-in-multidimensional-projec.pdf,true,body_core_terms
pending-ref-053,Analyzing quality measurements for dimensionality reduction,papers/raw/pending-references/pending-ref-053-2023-analyzing-quality-measurements-for-dimensionality-reduction.pdf,true,body_core_terms
pending-ref-054,A large-scale sensitivity analysis on latent embeddings and dimensionality reductions for text spatializations,papers/raw/pending-references/pending-ref-054-2025-a-large-scale-sensitivity-analysis-on-latent-embeddings-and-dimensionality-reductions.pdf,true,body_core_terms
pending-ref-055,HyperNP: Interactive Visual Exploration of Multidimensional Projection Hyperparameters,papers/raw/pending-references/pending-ref-055-2022-hypernp-interactive-visual-exploration-of-multidimensional-projection-hyperparameters.pdf,true,body_core_terms
pending-ref-056,Selecting and Sharing Multidimensional Projection Algorithms: A Practical View,papers/raw/pending-references/pending-ref-056-2020-selecting-and-sharing-multidimensional-projection-algorithms-a-practical-view.pdf,true,body_core_terms
pending-ref-057,Quality Metrics for Information Visualization,papers/raw/pending-references/pending-ref-057-2018-quality-metrics-for-information-visualization.pdf,true,body_core_terms
pending-ref-058,VITALITY: Promoting serendipitous discovery of academic literature with transformers & visual analytics,papers/raw/pending-references/pending-ref-058-2022-vitality-promoting-serendipitous-discovery-of-academic-literature-with-transformers-v.pdf,false,out_of_scope_topic_hint
pending-ref-060,ProxiLens: Interactive Exploration of High-Dimensional Data using Projections,papers/raw/pending-references/pending-ref-060-2013-proxilens-interactive-exploration-of-high-dimensional-data-using-projections.pdf,true,body_core_terms
pending-ref-061,viSNE enables visualization of high dimensional single-cell data and reveals phenotypic heterogeneity of leukemia,papers/raw/pending-references/pending-ref-061-2013-visne-enables-visualization-of-high-dimensional-single-cell-data-and-reveals-phenotyp.pdf,true,body_core_terms
pending-ref-062,Improving the visual analysis of high-dimensional datasets using quality measures,papers/raw/pending-references/pending-ref-062-2010-improving-the-visual-analysis-of-high-dimensional-datasets-using-quality-measures.pdf,true,body_core_terms
pending-ref-063,High-dimensional labeled data analysis with topology representing graphs,papers/raw/pending-references/pending-ref-063-2005-high-dimensional-labeled-data-analysis-with-topology-representing-graphs.pdf,true,body_core_terms
pending-ref-064,Experiments with random projection,papers/raw/pending-references/pending-ref-064-2000-experiments-with-random-projection.pdf,true,body_core_terms
pending-ref-065,Predicting User Preferences of Dimensionality Reduction Embedding Quality,papers/raw/pending-references/pending-ref-065-2023-predicting-user-preferences-of-dimensionality-reduction-embedding-quality.pdf,true,title_plus_body_core_terms
